skill_id,skill_name,aliases,description,taxonomy,original_id
SKILL_0000048,process spatial information,"show three-dimensional imagination, demonstrate spatial intelligence, work with shapes and spaces, exhibit three-dimensional imagination, apply spatial reasoning, manage shape and space, utilise spatial orientation, display three-dimensional imagination, work with shape and space, work with form and space","Be able to mentally imagine the position and relationship of bodies in three-dimensional spaces, developing a good sense of proportion.",esco,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1
SKILL_0000049,respect the diversity of cultural values and norms,"show sensitivity towards different worldviews, support cultural diversity, take national cultural identity in consideration, take account of the diversity of cultural values and norms, demonstrate knowledge of the multi-cultural dimension of European societies",Demonstrate intercultural competence and respect for one's own cultural values and norms. Show tolerance of and appreciation for the different values and norms held by different people and cultures and developed under different circumstances or in different times and places.,esco,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf
SKILL_0000050,cope with uncertainty,"handle ambiguity, dealing with uncertainty, deal with uncertainties, handle uncertainty, manage uncertainty",Tolerate and work constructively within unexpected and unpredictable situations.,esco,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687
SKILL_0000051,address an audience,"address audiences, present ideas, addressing an audience, speak to an audience, give a talk to an audience, lecture, give a lecture to an audience, deliver a speech","Speak in a structured, deliberate and face-to-face manner to a group of listeners to inform, influence, or entertain them.",esco,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a
SKILL_0000052,work in teams,"work in groups, working in teams, support colleagues, work in squads, handle team dynamics, foster social networks, cooperate with colleagues, team-working, cooperate, collaborate on tasks",Work confidently within a group with each doing their part in the service of the whole.,esco,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0
SKILL_0000053,show confidence,"behave confidently, show of confidence, showing confidence, demonstrate confidence, display confidence, exhibit confidence, reveal confidence, confidence showing",Demonstrate degrees of maturity by fully understanding one's own qualities and abilities which can serve as sources of confidence in different situations.,esco,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d
SKILL_0000054,instruct others,"train others, instruct colleagues, tutoring, instructing others, educate others, teach others",Guide or teach others by providing relevant knowledge and support.,esco,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b
SKILL_0000055,operate digital hardware,"use smart ICT devices, apply ICT peripherals, carry out practical tasks with smart devices, use digital devices, use mouse, use hardware, use keyboard, use hardware components, work with computer hardware and peripherals, use ICT hardware, use ICT peripherals","Use equipment such as monitor, mouse, keyboard, storage devices, printers and scanners to perform operations such as plugging in, starting up, shutting down, rebooting, saving files and other operations.",esco,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc
SKILL_0000056,"organise information, objects and resources","structure information, organise resources, have organisational skills, demonstrate organizational skills, record information, take in information","Understand your tasks and the processes that go with them. Organize information, objects and resources using systematic methods and according to given standards and ensure that the task is mastered.",esco,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401
SKILL_0000057,interpret mathematical information,"enjoy working with numbers, apply mathematical reasoning, apply numerical reasoning, apply numeracy skills, demonstrate an understanding of numbers","Demonstrate an understanding of mathematical terms and concepts, and apply basic mathematical principles and processes to interpret data and facts.",esco,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13
SKILL_0000058,demonstrate loyalty,"back company plan, champion company plan, support company mission, support plans of the company, follow organisation's vision, support company plan, show loyalty","Demonstrate inner attachment to a group or organization, including by sharing and representing their values.",esco,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1
SKILL_0000059,lead others,"exert a goal-oriented leadership role towards colleagues, make use of leadership abilities for team coordination, guide others, show an exemplary leading role in an organisation, exert a leadership role towards colleagues, take on a leadership role, leading others, lead others, exert a goal-oriented leadership role, direct others, supervise others, give direction, exert a result-oriented leadership role, exert a result-oriented leadership role towards colleagues, show leadership attitude, make use of result-oriented leadership abilities, exert result-oriented leadership, manage people, make use of goal-driven leadership abilities, lead, lead colleagues","Guide, coach and direct others towards the achievement of common goals, embracing a leadership role often in a group or team. Perform, act, and behave in a manner that inspires collaborators to follow the example given by their managers.",esco,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207
SKILL_0000060,show empathy,"demonstrate consideration, exhibit consideration, show concern for others, show courtesy, communicate an empathic response, display consideration, demonstrate concern for others, treat people fairly, show good manners, concern for others, showing empathy, be empathic",Show empathy in order to prevent any kind of symbolic violence and isolation and to guarantee a considerate attention to everyone. It should include a capacity to understand various verbal and non-verbal communication of sentiment and feeling.,esco,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc
SKILL_0000061,negotiate compromises,"resolve conflict, negotiating compromise, influence decision-making processes, bargain, manage complaints, negotiate, defuse conflict, seek agreement, bargaining","Communicate with others with the intention of reaching a common understanding or to resolve a point of difference, without losing sight of one's own or others' intentions or goals.",esco,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74
SKILL_0000062,cope with stress,"deal with pressure, perform under pressure, accept challenges, cope with pressures, work under pressure, manage pressure, handle pressure, show mental resilience, stay cool under pressure, coping with pressure","Handle challenges, disruption and change and recover from set-backs and adversity.",esco,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d
SKILL_0000063,work efficiently,"labor efficiently, do your job efficiently, efficiently work, working efficiently, work in an economical way","Achieve objectives using minimum amount of time, effort, or cost.",esco,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49
SKILL_0000064,participate actively in civic life,"demonstrate active citisenship, perform community work, be involved in civic activities, do neighbouring activity","Actively engage in activities for the common or public interest such as civic, community or neighbourhood initiatives, volunteering opportunities and non-governmental organisations.",esco,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12
SKILL_0000065,think critically,"weigh information, assess information, check facts, evaluate important information, evaluating information, detect bias, evaluate opinions, consider alternative views, assess facts, assess opinions, evaluate information and its sources, distinguish fact from opinion, evaluate truth, assess processes, verify information, critically evaluate information and its sources, evaluate facts, review information, apply critical thinking",Make and defend judgements based on internal evidence and external criteria. Critically evaluate the credibility and reliability of information before using or passing it on to others. Develop independent and critical thinking.,esco,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9
SKILL_0000066,engage others in environment friendly behaviours,"inform about sustainability, promote sustainability, advocate sustainability, encourage others to respect the environment, promote environmental friendly behaviours",Inform about and promote environmental friendly behaviours in social networks and at work.,esco,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978
SKILL_0000067,attend to detail,"attend to details, to work precisely, attending to details, work meticulously, attend to accuracy, attend to precision, manage details, deal with details, work in a proper manner, work carefully, sort out details","Accomplish a task with concern for all the areas involved, no matter how small.",esco,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7
SKILL_0000068,make an informed use of the health-care system,"apply preventive care measures to avoid physical or psychological harm, manage appropriate medications, find the right healthcare service",Identify and select the right preventive and curative services or agencies that offer healthcare services and manage safely the appropriate medications.,esco,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c
SKILL_0000069,promote the principles of democracy and rule of law,"support gender mainstreaming, promote a culture of piece and non violence, demonstrate an understanding of European common values, confront discriminations, fight discrimination, implement equality policies, support democracy, mainstream gender, support gender equality","Take an active role in promoting the principles of democracy, social justice and the rule of law. Confront discrimination based on ethnic, cultural or sexual identity or orientation as well as social, educational, or economic background, by assessing and voicing the implications for different groups of any planned action, including legislation, policies or programmes.",esco,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37
SKILL_0000070,express yourself creatively,"sing, engage in artistic self-expression, play instruments, express ideas experiences and emotions creatively, paint, dance, draw, demonstrate sense of rhythm","Be able to use singing, dancing, instrumental music, acting or fine arts to express oneself creatively.",esco,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90
